Latitude,Longitude,GLIMS_ID,ID,Elv_min,Elv_mean,Elv_max,ID_RGI
34.575000000000003,68.019000000000005,G068019E34575N,1.000000000000000,"4377","4433","4524",RGI2000-v7.0-G-14-00036
34.607999999999997,67.981999999999999,G067982E34608N,2.000000000000000,"4385","4407","4440",NewID_N34.575E68.019
34.606999999999999,67.956000000000003,G067956E34607N,3.000000000000000,"4683","4770","4941",RGI2000-v7.0-G-14-00032
34.609999999999999,67.962999999999994,G067963E34610N,4.000000000000000,"4469","4593","4702",RGI2000-v7.0-G-14-00033
34.613999999999997,67.876000000000005,G067876E34614N,5.000000000000000,"4160","4354","4688",RGI2000-v7.0-G-14-00025
34.615000000000002,67.923000000000002,G067923E34615N,6.000000000000000,"4275","4380","4629",RGI2000-v7.0-G-14-00027
34.616000000000000,67.938000000000002,G067938E34616N,7.000000000000000,"4439","4580","4769",RGI2000-v7.0-G-14-00029
34.619999999999997,67.950000000000003,G067950E34620N,8.000000000000000,"4471","4610","4921",RGI2000-v7.0-G-14-00030
34.637999999999998,67.670000000000002,G067670E34638N,9.000000000000000,"4403","4470","4591",RGI2000-v7.0-G-14-00010
34.637999999999998,67.679000000000002,G067679E34638N,10.000000000000000,"4510","4585","4676",RGI2000-v7.0-G-14-00011
34.642000000000003,67.664000000000001,G067664E34642N,11.000000000000000,"4274","4368","4536",RGI2000-v7.0-G-14-00009
34.643999999999998,67.656999999999996,G067657E34644N,12.000000000000000,"4422","4531","4623",RGI2000-v7.0-G-14-00008
34.645000000000003,67.775000000000006,G067775E34645N,13.000000000000000,"4383","4451","4602",RGI2000-v7.0-G-14-00022
34.643000000000001,67.643000000000001,G067643E34643N,14.000000000000000,"4474","4567","4684",RGI2000-v7.0-G-14-00006
34.646999999999998,67.747000000000000,G067747E34647N,15.000000000000000,"4373","4457","4574",RGI2000-v7.0-G-14-00019
34.646000000000001,67.650000000000006,G067650E34646N,16.000000000000000,"4560","4631","4746",RGI2000-v7.0-G-14-00007
34.649000000000001,67.734999999999999,G067735E34649N,17.000000000000000,"4378","4456","4621",RGI2000-v7.0-G-14-00018
34.651000000000003,67.695999999999998,G067696E34651N,18.000000000000000,"4491","4552","4630",RGI2000-v7.0-G-14-00014
34.649999999999999,67.688999999999993,G067689E34650N,19.000000000000000,"4255","4408","4591",RGI2000-v7.0-G-14-00013
34.649000000000001,67.631000000000000,G067631E34649N,20.000000000000000,"4316","4476","4764",RGI2000-v7.0-G-14-00004
35.216000000000001,68.783000000000001,G068783E35216N,21.000000000000000,"4473","4547","4647",RGI2000-v7.0-G-14-00042
35.220999999999997,68.793000000000006,G068793E35221N,22.000000000000000,"4300","4413","4517",RGI2000-v7.0-G-14-00044
35.273000000000003,68.832999999999998,G068833E35273N,23.000000000000000,"4241","4320","4401",RGI2000-v7.0-G-14-00045
35.277999999999999,68.825000000000003,G068825E35278N,24.000000000000000,"4196","4237","4297",RGI2000-v7.0-G-14-00047
35.280999999999999,68.882999999999996,G068883E35281N,25.000000000000000,"4088","4199","4385",RGI2000-v7.0-G-14-00052
35.289999999999999,68.878000000000000,G068878E35290N,26.000000000000000,"4121","4224","4345",RGI2000-v7.0-G-14-00051
35.298000000000002,68.861000000000004,G068861E35298N,27.000000000000000,"4276","4376","4471",RGI2000-v7.0-G-14-00049
35.311999999999998,68.852000000000004,G068852E35312N,28.000000000000000,"4368","4399","4438",RGI2000-v7.0-G-14-00050
35.344999999999999,68.834999999999994,G068835E35345N,29.000000000000000,"4464","4550","4652",RGI2000-v7.0-G-14-00055
35.348999999999997,68.859999999999999,G068860E35349N,30.000000000000000,"4400","4421","4446",RGI2000-v7.0-G-14-00053
35.366000000000000,68.804000000000002,G068804E35366N,31.000000000000000,"4687","4758","4824",RGI2000-v7.0-G-14-00056
35.406999999999996,69.325999999999993,G069326E35407N,32.000000000000000,"4232","4291","4352",RGI2000-v7.0-G-14-00073
35.402999999999999,69.265000000000001,G069265E35403N,33.000000000000000,"4125","4267","4538",RGI2000-v7.0-G-14-00068
35.412999999999997,69.283000000000001,G069283E35413N,34.000000000000000,"3919","4056","4225",RGI2000-v7.0-G-14-00069
35.412999999999997,69.313000000000002,G069313E35413N,35.000000000000000,"3887","4000","4139",RGI2000-v7.0-G-14-00071
35.420000000000002,69.358999999999995,G069359E35420N,36.000000000000000,"4320","4348","4401",NewID_N34.575E68.019
35.433999999999997,69.391999999999996,G069392E35434N,37.000000000000000,"4359","4464","4664",RGI2000-v7.0-G-14-00081
35.439000000000000,69.251000000000005,G069251E35439N,38.000000000000000,"4543","4637","4771",RGI2000-v7.0-G-14-00528
