Latitude,Longitude,GLIMS_ID,ID,Elv_min,Elv_mean,Elv_max,ID_RGI
"34.575000000000003","68.019000000000005",G068019E34575N,"1.000000000000000","4392","4499","4677",RGI2000-v7.0-G-14-00036
"34.607999999999997","67.983000000000004",G067983E34608N,"2.000000000000000","4385","4446","4560",NewID_N34.575E68.019
"34.606999999999999","67.956000000000003",G067956E34607N,"3.000000000000000","4683","4776","4941",RGI2000-v7.0-G-14-00032
"34.609000000000002","67.962000000000003",G067962E34609N,"4.000000000000000","4469","4586","4702",RGI2000-v7.0-G-14-00033
"34.616000000000000","67.938000000000002",G067938E34616N,"5.000000000000000","4465","4578","4769",RGI2000-v7.0-G-14-00029
"34.615000000000002","67.923000000000002",G067923E34615N,"6.000000000000000","4265","4343","4539",RGI2000-v7.0-G-14-00027
"34.613999999999997","67.876000000000005",G067876E34614N,"7.000000000000000","4185","4373","4655",RGI2000-v7.0-G-14-00025
"34.618000000000002","67.948999999999998",G067949E34618N,"8.000000000000000","4505","4623","4921",RGI2000-v7.0-G-14-00030
"34.637000000000000","67.670000000000002",G067670E34637N,"9.000000000000000","4417","4476","4547",RGI2000-v7.0-G-14-00010
"34.639000000000003","67.677999999999997",G067678E34639N,"10.000000000000000","4510","4539","4565",RGI2000-v7.0-G-14-00011
"34.645000000000003","67.775000000000006",G067775E34645N,"11.000000000000000","4410","4472","4596",RGI2000-v7.0-G-14-00022
"34.646999999999998","67.747000000000000",G067747E34647N,"12.000000000000000","4373","4440","4513",RGI2000-v7.0-G-14-00019
"34.642000000000003","67.662999999999997",G067663E34642N,"13.000000000000000","4319","4394","4536",RGI2000-v7.0-G-14-00009
"34.643999999999998","67.656999999999996",G067657E34644N,"14.000000000000000","4460","4538","4623",RGI2000-v7.0-G-14-00008
"34.649000000000001","67.734999999999999",G067735E34649N,"15.000000000000000","4387","4475","4621",RGI2000-v7.0-G-14-00018
"34.643000000000001","67.643000000000001",G067643E34643N,"16.000000000000000","4474","4566","4684",RGI2000-v7.0-G-14-00006
"34.646000000000001","67.650000000000006",G067650E34646N,"17.000000000000000","4560","4634","4746",RGI2000-v7.0-G-14-00007
"34.651000000000003","67.695999999999998",G067696E34651N,"18.000000000000000","4491","4552","4630",RGI2000-v7.0-G-14-00014
"34.649999999999999","67.689999999999998",G067690E34650N,"19.000000000000000","4255","4439","4733",RGI2000-v7.0-G-14-00013
"34.649000000000001","67.631000000000000",G067631E34649N,"20.000000000000000","4316","4473","4764",RGI2000-v7.0-G-14-00004
